
 -20.8898 -4.7649 1.88483 0.566984 -18.6917 -7.14175 5.27906 -0.221796 0.594508  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0
 24.9036 -20.3266 -1.99827 1.77294 17.0601 -16.9052 4.12931 -0.368463 0.78605  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0
 3.80925 -34.1721 -0.135831 2.97099 -0.956788 -28.2187 5.43549 0.783345 0.34527  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0
 -18.663 9.26416 1.60208 -0.998585 -14.9807 11.7061 0.368969 -0.894053 0.295609  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0
 1.82215 -7.73388 -0.251766 1.68134 3.46494 -27.5743 3.37245 -0.589814 -0.0471424  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0
 1.28668 -28.8539 -0.0981099 2.54028 0.773631 -24.492 4.81573 0.850041 -0.509071  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0
 -21.1382 10.6378 2.20481 -2.00344 -25.1629 31.4343 0.272657 -0.872737 -0.535798  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0
 9.7187 -11.3835 -0.393611 0.924172 -1.45286 -8.02411 2.99047 0.540292 0.582761  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0
 -20.1765 -7.74154 1.93456 0.46607 -20.4491 -2.04592 2.03565 0.211034 -0.77705  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0
 -25.0314 -7.22873 1.98877 1.28659 -16.7327 -19.7897 5.79028 -0.584376 0.607412  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0  -1000  -1000      0      0      0
